Area Code,Area Code (M49),Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
70,'258,French Polynesia,7012,December,6078,Standard Deviation,°c,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
70,'258,French Polynesia,7016,Dec–Jan–Feb,7271,Temperature change,°c,0.308,0.08,-0.024,0.113,-0.529,0.105,-0.224,-0.636,0.342,0.396,-0.542,0.186,0.451,-0.26,-0.298,-0.591,0.507,-0.101,0.077,0.248,0.142,0.457,0.527,0.611,-0.088,0.149,0.537,0.404,0.006,0.108,0.399,0.148,0.066,0.72,0.507,0.107,0.183,0.943,0.53,0.41,0.358,0.476,0.598,0.846,0.64,0.989,0.972,0.225,0.691,0.921,0.032,0.548,0.636,0.447,0.708,1.136,1.037,0.679,1.074,0.726,0.716,0.38
70,'258,French Polynesia,7016,Dec–Jan–Feb,6078,Standard Deviation,°c,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
70,'258,French Polynesia,7017,Mar–Apr–May,7271,Temperature change,°c,0.079,-0.247,0.009,-0.065,-0.032,0.182,-0.305,-0.849,0.403,0.132,-0.533,0.307,0.556,-0.474,-0.162,-0.337,0.277,0.141,0.14,0.346,-0.15,0.327,-0.268,0.418,0.304,0.102,0.766,0.356,0.094,0.204,0.367,0.388,0.062,0.527,0.501,0.101,0.386,0.618,0.518,0.092,0.523,0.822,0.701,0.293,0.469,0.796,0.849,0.159,0.711,0.907,-0.002,0.618,0.912,0.316,0.67,1.186,0.937,0.536,0.899,1.055,0.758,0.468
70,'258,French Polynesia,7017,Mar–Apr–May,6078,Standard Deviation,°c,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
70,'258,French Polynesia,7018,Jun–Jul–Aug,7271,Temperature change,°c,0.242,-0.061,-0.072,-0.224,-0.061,-0.057,-0.179,-0.582,0.305,0.252,-0.154,0.365,0.059,-0.356,-0.157,-0.284,-0.078,-0.086,0.13,0.307,0.052,0.273,0.089,-0.012,0.084,0.375,0.124,0.365,0.312,0.633,0.245,0.4,0.151,0.376,0.647,0.248,0.065,0.372,0.53,0.502,0.621,0.719,0.729,0.147,0.599,0.768,0.914,0.424,0.859,0.822,0.308,0.565,0.126,0.701,0.559,0.977,1.054,0.629,0.783,0.654,0.835,0.371
70,'258,French Polynesia,7018,Jun–Jul–Aug,6078,Standard Deviation,°c,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
70,'258,French Polynesia,7019,Sep–Oct–Nov,7271,Temperature change,°c,0.197,0.042,0.234,-0.373,0.29,0.094,-0.39,0.004,0.154,-0.05,-0.139,-0.382,0.234,-0.279,-0.373,0.211,0.266,-0.249,0.073,-0.001,0.485,0.236,0.407,0.633,0.317,0.485,0.484,0.299,0.223,0.641,0.352,0.471,0.285,0.55,0.674,0.296,0.705,0.598,0.244,0.31,0.505,1.168,0.785,0.84,0.979,0.809,0.665,0.619,0.938,0.39,0.519,1.157,0.472,1.001,0.787,1.209,0.577,0.678,0.671,0.88,0.854,0.217
70,'258,French Polynesia,7019,Sep–Oct–Nov,6078,Standard Deviation,°c,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285
70,'258,French Polynesia,7020,Meteorological year,7271,Temperature change,°c,0.207,-0.046,0.037,-0.137,-0.083,0.081,-0.274,-0.516,0.301,0.182,-0.342,0.119,0.325,-0.342,-0.247,-0.25,0.243,-0.074,0.105,0.225,0.132,0.323,0.189,0.412,0.154,0.278,0.478,0.356,0.159,0.397,0.341,0.352,0.141,0.543,0.582,0.188,0.335,0.633,0.456,0.329,0.502,0.796,0.703,0.531,0.672,0.841,0.85,0.357,0.8,0.76,0.214,0.722,0.536,0.616,0.681,1.127,0.901,0.631,0.857,0.829,0.791,0.359
